 GRB	  Tel  Yr   Mo     Dat      Days    Freq      Fl      rms   Ref
 970616   VLA  1997 Jun.   20.49    3.73    4.86     -99.      70.  fkbw03
 970616   VLA  1997 Jun.   20.49    3.73    8.46     -99.      60.  fkbw03
 970616   VLA  1997 Jun.   24.59    7.83    1.43     -99.     120.  fkbw03
 970616   VLA  1997 Jun.   24.59    7.83    4.86     -99.      70.  fkbw03
 970616   VLA  1997 Jun.   24.59    7.83    8.46     -99.      50.  fkbw03
 970616   VLA  1997 Jun.   25.65    8.89    8.46     -99.      60.  fkbw03
 970616   VLA  1997 Jun.   25.65    8.89   14.90     -99.     140.  fkbw03
 970616   VLA  1997 Jun.   28.46   11.70    4.86     -99.      40.  fkbw03
 970616   VLA  1997 Jun.   28.46   11.70    8.46     -99.      40.  fkbw03
 970616   VLA  1997 Jul.    7.57   20.81    4.86     -99.      60.  fkbw03
 970616   VLA  1997 Jul.    7.57   20.81    8.46     -99.      40.  fkbw03
 970616   VLA  1997 Sep.    8.38   83.62    8.46     -99.      40.  fkbw03
 970815   VLA  1997 Aug.   16.64    1.14    4.89     -99.      98.  fkbw03
 970815   VLA  1997 Aug.   17.10    1.60    4.89     -99.      85.  fkbw03
 970815   VLA  1997 Aug.   20.07    4.57    8.44     -99.      61.  fkbw03
 970815   VLA  1997 Aug.   21.13    5.63    8.44     -99.      62.  fkbw03
 970815   VLA  1997 Sep.    4.14   19.64    4.89     -99.      54.  fkbw03
 970815   VLA  1997 Oct.   30.01   75.50    8.44     -99.      24.  fkbw03
 970815   VLA  1997 Nov.   24.71  101.21    8.44     -99.      24.  fkbw03
 970815   VLA  1997 Nov.   26.75  103.25    8.44     -99.      16.  fkbw03
 970828   VLA  1997 Aug.   28.88    0.14    4.86       3.      46.  dfk+01
 970828   VLA  1997 Aug.   31.19    2.45    4.86      23.      27.  dfk+01
 970828   VLA  1997 Aug.   31.19    2.45    8.46      37.      30.  dfk+01
 970828   VLA  1997 Sep.    1.27    3.53    4.86      60.      38.  dfk+01
 970828   VLA  1997 Sep.    1.27    3.53    8.46     147.      33.  dfk+01
 970828   VLA  1997 Sep.    1.27    3.53    1.43      28.      73.  dfk+01
 970828   VLA  1997 Sep.    3.36    5.62    4.86      99.      50.  dfk+01
 970828   VLA  1997 Sep.    3.36    5.62    8.46     110.      50.  dfk+01
 970828   VLA  1997 Sep.   16.19   18.45    8.46      65.      33.  dfk+01
 970828   VLA  1997 Sep.   19.11   21.37    8.46      22.      30.  dfk+01
 970828   VLA  1997 Sep.   23.89   26.15    4.86     -18.      40.  dfk+01
 970828   VLA  1997 Oct.    9.13   41.39    8.46      20.      14.  dfk+01
 970828   VLA  1997 Oct.   17.06   49.32    8.46       7.      18.  dfk+01
 970828   VLA  1997 Oct.   17.73   49.99    8.46      20.      21.  dfk+01
 970828   VLA  1997 Oct.   22.24   54.50    8.46       7.      21.  dfk+01
 970828   VLA  1997 Oct.   23.00   55.26    8.46      19.      50.  dfk+01
 970828   VLA  1997 Oct.   23.24   55.50    8.46      40.      36.  dfk+01
 970828   VLA  1997 Nov.   18.99   82.25    8.46      32.      13.  dfk+01
 970828   VLA  1997 Nov.   26.99   90.25    8.46      27.      14.  dfk+01
 970828   VLA  1998 Feb.    2.73  157.99    8.46     -21.      17.  dfk+01
 970828   VLA  1998 Mar.    5.74  189.00    1.43      35.      27.  dfk+01
 970828   VLA  1998 Mar.   24.79  208.05    1.43      57.      51.  dfk+01
 970828   VLA  1998 Mar.   29.68  212.94    1.43       5.      22.  dfk+01
 970828   VLA  1998 Apr.   27.58  241.84    1.43      14.      22.  dfk+01
 971214   VLA  1997 Dec.   15.67    0.70    8.46      73.      50.  fkbw03
 971214   VLA  1997 Dec.   16.34    1.37    8.46      26.      18.  fkbw03
 971214  JCMT  1997 Dec.   16.53    1.56  352.90     -99.    3000.  stv+99
 971214  JCMT  1997 Dec.   17.68    2.71  352.90     -99.    1200.  stv+99
 971214   VLA  1997 Dec.   18.33    3.36    8.46      13.      17.  fkbw03
 971214  JCMT  1997 Dec.   19.73    4.76  352.90     -99.    1500.  stv+99
 971214   VLA  1997 Dec.   20.28    5.30    8.46      33.      31.  fkbw03
 971214  JCMT  1997 Dec.   22.65    7.68  352.90     -99.    1300.  stv+99
 971214   VLA  1997 Dec.   28.24   13.30    8.46       5.      55.  fkbw03
 971214   VLA  1998 Jan.    3.38   19.40    8.46      -5.      12.  fkbw03
 971214   VLA  1998 Jan.   13.69   29.70    8.46     -99.      23.  fkbw03
 971214   VLA  1998 Feb.    7.22   54.25    8.46      -5.      17.  fkbw03
